jid,bulk_modulus_kv,target,num_atoms
JVASP-10,48.79,48.79,3
JVASP-64664,12.1,12.1,6
JVASP-1372,68.87,68.87,2
JVASP-14873,150.6,150.6,7
JVASP-28397,6.63,6.63,8
JVASP-1996,17.93,17.93,2
JVASP-48166,97.7,97.7,14
JVASP-15345,179.17,179.17,4
JVASP-21210,4.4,4.4,1
JVASP-65062,23.03,23.03,6
JVASP-64983,161.67,161.67,6
JVASP-22587,82.77,82.77,5
JVASP-18912,42.93,42.93,2
JVASP-64184,13.53,13.53,6
JVASP-14756,72.03,72.03,2
JVASP-22670,19.03,19.03,9
JVASP-28959,6.44,6.44,12
JVASP-1390,93.6,93.6,2
JVASP-47962,105.91,105.91,6
JVASP-1879,120.51,120.51,4
JVASP-18433,135.52,135.52,4
JVASP-29024,19.21,19.21,12
JVASP-22721,28.96,28.96,6
JVASP-3534,67.58,67.58,6
JVASP-15831,20.77,20.77,6
JVASP-3252,111.22,111.22,5
JVASP-1837,45.81,45.81,4
JVASP-14997,140.12,140.12,6
JVASP-43079,69.46,69.46,6
JVASP-50935,191.5,191.5,10
JVASP-22698,76.89,76.89,8
JVASP-37168,56.1,56.1,2
JVASP-64315,9.3,9.3,3
JVASP-50006,132.7,132.7,5
JVASP-42398,124.43,124.43,12
JVASP-16930,49.36,49.36,3
JVASP-64241,11.83,11.83,6
JVASP-64668,18.0,18.0,6
JVASP-50107,117.98,117.98,5
JVASP-65020,166.86,166.86,3
JVASP-3096,32.81,32.81,9
JVASP-22617,38.96,38.96,8
JVASP-14614,55.2,55.2,1
JVASP-5059,66.54,66.54,9
JVASP-97853,35.8,35.8,11
JVASP-42657,269.79,269.79,6
JVASP-52341,16.59,16.59,12
JVASP-15431,98.96,98.96,5
JVASP-85447,59.14,59.14,8
JVASP-90336,54.5,54.5,9
JVASP-48645,21.61,21.61,20
JVASP-90812,72.07,72.07,8
JVASP-85665,41.17,41.17,9
JVASP-4591,20.96,20.96,13
JVASP-86570,33.79,33.79,14
JVASP-38312,25.67,25.67,4
JVASP-85785,12.81,12.81,14
JVASP-38306,40.7,40.7,5
JVASP-85713,23.69,23.69,12
JVASP-87207,44.37,44.37,18
JVASP-90168,121.01,121.01,9
JVASP-37035,186.0,186.0,4
JVASP-85922,46.01,46.01,10
JVASP-14575,165.6,165.6,2
JVASP-22644,213.29,213.29,20
JVASP-90627,168.5,168.5,8
JVASP-86502,154.33,154.33,9
JVASP-37194,234.57,234.57,4
JVASP-37044,202.93,202.93,4
JVASP-37946,154.88,154.88,4
JVASP-37051,146.57,146.57,4
JVASP-15056,76.0,76.0,2
JVASP-38317,25.18,25.18,4
JVASP-37031,185.57,185.57,4
JVASP-14789,61.0,61.0,2
JVASP-64985,135.09,135.09,4
JVASP-39448,184.2,184.2,5
JVASP-87040,114.46,114.46,10
JVASP-16080,281.13,281.13,1
JVASP-14914,166.6,166.6,3
JVASP-37042,125.77,125.77,4
JVASP-107773,118.11,118.11,8
JVASP-37191,174.83,174.83,4
JVASP-37039,115.93,115.93,4
JVASP-37104,99.57,99.57,4
JVASP-14830,305.2,305.2,1
JVASP-37057,115.03,115.03,4
JVASP-11958,101.07,101.07,22
JVASP-36885,74.6,74.6,5
JVASP-1750,94.77,94.77,3
JVASP-64724,12.9,12.9,6
JVASP-36782,85.28,85.28,4
JVASP-36857,102.97,102.97,4
JVASP-37583,234.77,234.77,4
JVASP-39364,158.9,158.9,4
JVASP-28962,5.0,5.0,12
JVASP-64907,149.96,149.96,4
JVASP-36850,125.43,125.43,4
JVASP-91700,330.32,330.32,8
JVASP-36853,143.11,143.11,4
JVASP-323,47.87,47.87,3
JVASP-37300,66.77,66.77,5
JVASP-38181,76.93,76.93,5
JVASP-1198,45.33,45.33,2
JVASP-37387,60.7,60.7,4
JVASP-38327,43.73,43.73,5
JVASP-22557,199.77,199.77,4
JVASP-39275,139.43,139.43,4
JVASP-14757,13.8,13.8,1
JVASP-22671,144.96,144.96,4
JVASP-22514,141.27,141.27,6
JVASP-28353,56.71,56.71,3
JVASP-3648,12.3,12.3,6
JVASP-43427,27.02,27.02,6
JVASP-5485,19.49,19.49,6
JVASP-2017,159.77,159.77,4
JVASP-3396,36.94,36.94,8
JVASP-15528,81.8,81.8,4
JVASP-49776,54.79,54.79,12
JVASP-53075,55.19,55.19,8
JVASP-14874,104.18,104.18,8
JVASP-53439,48.24,48.24,7
JVASP-64189,10.7,10.7,6
