jid,ehull,target,num_atoms
JVASP-90856,0.0423,0.0423,8
JVASP-86097,0.0456,0.0456,7
JVASP-64906,0.3183,0.3183,4
JVASP-98225,0.0,0.0,32
JVASP-10,0.0156,0.0156,3
JVASP-14014,0.0817,0.0817,12
JVASP-64664,0.5443,0.5443,6
JVASP-22556,0.1769,0.1769,5
JVASP-86726,0.0,0.0,6
JVASP-28634,0.1568,0.1568,12
JVASP-98550,0.0,0.0,20
JVASP-89265,0.1528,0.1528,28
JVASP-97915,0.0,0.0,35
JVASP-90228,0.2661,0.2661,9
JVASP-42300,0.094,0.094,22
JVASP-86968,0.0,0.0,9
JVASP-90532,0.1782,0.1782,9
JVASP-50332,0.0494,0.0494,5
JVASP-86205,0.0176,0.0176,17
JVASP-28704,0.0824,0.0824,12
JVASP-60702,0.0016,0.0016,44
JVASP-97799,0.0,0.0,24
JVASP-28565,0.1529,0.1529,9
JVASP-86436,0.0,0.0,8
JVASP-1372,0.0071,0.0071,2
JVASP-14873,0.0,0.0,7
JVASP-28397,0.1222,0.1222,8
JVASP-98284,0.0,0.0,27
JVASP-89025,0.0,0.0,36
JVASP-1996,0.009,0.009,2
JVASP-48166,0.0,0.0,14
JVASP-15345,0.0,0.0,4
JVASP-97378,0.0,0.0,36
JVASP-97984,0.0,0.0,12
JVASP-98224,0.0,0.0,10
JVASP-98167,0.0067,0.0067,30
JVASP-64045,1.2017,1.2017,6
JVASP-63912,1.1953,1.1953,6
JVASP-64003,0.9915,0.9915,6
JVASP-64584,0.6607,0.6607,6
JVASP-64240,0.6592,0.6592,6
JVASP-107772,0.004,0.004,4
JVASP-64719,0.9664,0.9664,6
JVASP-97499,0.0,0.0,48
JVASP-64377,0.8441,0.8441,6
JVASP-21210,0.0,0.0,1
JVASP-97677,0.0,0.0,64
JVASP-65101,1.6777,1.6777,6
JVASP-65062,1.3639,1.3639,6
JVASP-97570,0.0,0.0,22
JVASP-64983,0.5245,0.5245,6
JVASP-98036,0.044,0.044,13
JVASP-98088,0.0,0.0,31
JVASP-22587,0.2732,0.2732,5
JVASP-89957,0.0,0.0,9
JVASP-18912,0.0,0.0,2
JVASP-90428,2.9354,2.9354,9
JVASP-48091,0.0,0.0,18
JVASP-29104,0.0796,0.0796,12
JVASP-64427,0.6159,0.6159,6
JVASP-64129,0.5168,0.5168,3
JVASP-64090,1.9014,1.9014,6
JVASP-64314,1.2624,1.2624,6
JVASP-63956,1.1302,1.1302,6
JVASP-107735,0.0141,0.0141,7
JVASP-64861,1.0927,1.0927,6
JVASP-64780,0.5621,0.5621,6
JVASP-98798,0.0,0.0,48
JVASP-64512,0.75,0.75,6
JVASP-53301,0.8474,0.8474,3
JVASP-64184,0.9413,0.9413,6
JVASP-64945,1.0001,1.0001,6
JVASP-86322,0.0107,0.0107,8
JVASP-14756,0.0776,0.0776,2
JVASP-16079,0.0,0.0,1
JVASP-47529,0.0,0.0,6
JVASP-91520,0.0,0.0,8
JVASP-22670,0.0,0.0,9
JVASP-97623,0.0,0.0,28
JVASP-49836,0.0147,0.0147,5
JVASP-28959,0.1803,0.1803,12
JVASP-15810,0.0,0.0,4
JVASP-90114,0.1275,0.1275,9
JVASP-1390,0.0,0.0,2
JVASP-47962,0.0588,0.0588,6
JVASP-1879,0.0,0.0,4
JVASP-98688,0.0103,0.0103,32
JVASP-5482,0.1334,0.1334,3
JVASP-18433,0.0326,0.0326,4
JVASP-29024,0.0937,0.0937,12
JVASP-97985,0.0432,0.0432,10
JVASP-22721,0.0515,0.0515,6
JVASP-86154,0.3628,0.3628,6
JVASP-32197,0.1241,0.1241,28
JVASP-16112,0.0,0.0,9
JVASP-85557,0.0,0.0,6
JVASP-43739,0.0711,0.0711,10
JVASP-3828,0.0,0.0,9
JVASP-91564,0.0371,0.0371,8
JVASP-97732,0.0,0.0,16
JVASP-43842,0.0312,0.0312,18
JVASP-98494,0.0,0.0,40
JVASP-89901,0.0,0.0,9
JVASP-4729,0.9205,0.9205,8
JVASP-97336,0.0,0.0,24
JVASP-63913,1.1203,1.1203,6
JVASP-87903,0.0296,0.0296,9
JVASP-49773,0.1045,0.1045,10
JVASP-3534,0.0,0.0,6
JVASP-15831,0.2317,0.2317,6
JVASP-43424,0.1199,0.1199,16
JVASP-64130,1.6838,1.6838,6
JVASP-3252,0.0,0.0,5
JVASP-14081,0.0532,0.0532,12
JVASP-98173,-0.0,-0.0,12
JVASP-1837,0.0,0.0,4
JVASP-48383,0.0165,0.0165,14
JVASP-18544,0.1873,0.1873,3
JVASP-53071,0.0179,0.0179,14
JVASP-97428,0.0,0.0,44
JVASP-14997,0.0168,0.0168,6
JVASP-64092,1.3415,1.3415,6
JVASP-43079,0.0762,0.0762,6
JVASP-64428,0.749,0.749,6
JVASP-90580,0.1298,0.1298,8
JVASP-50935,0.0205,0.0205,10
JVASP-64185,1.1403,1.1403,6
JVASP-22698,0.0349,0.0349,8
JVASP-64004,0.7692,0.7692,6
JVASP-64783,0.7222,0.7222,6
JVASP-64046,0.803,0.803,6
JVASP-37168,0.3529,0.3529,2
JVASP-64315,1.5716,1.5716,3
JVASP-91653,0.0271,0.0271,8
JVASP-50807,0.0,0.0,19
JVASP-86899,0.0257,0.0257,18
JVASP-64721,1.068,1.068,6
JVASP-50006,0.0,0.0,5
JVASP-98438,0.4451,0.4451,48
JVASP-43622,0.153,0.153,20
JVASP-64515,0.537,0.537,6
JVASP-63957,1.1364,1.1364,6
JVASP-52881,0.0,0.0,15
JVASP-98354,0.0019,0.0019,41
JVASP-53435,0.0713,0.0713,14
JVASP-42398,0.0247,0.0247,12
JVASP-16930,0.0236,0.0236,3
JVASP-50690,0.0,0.0,18
JVASP-90040,0.0139,0.0139,9
JVASP-64241,1.1963,1.1963,6
JVASP-43523,0.0256,0.0256,16
JVASP-92194,0.1478,0.1478,8
JVASP-64668,0.8598,0.8598,6
JVASP-50107,0.0,0.0,5
JVASP-88701,0.5496,0.5496,28
JVASP-47760,0.0812,0.0812,20
JVASP-65020,0.0,0.0,3
JVASP-91608,0.0287,0.0287,8
JVASP-48576,0.1015,0.1015,20
JVASP-3096,0.0,0.0,9
JVASP-22617,0.1179,0.1179,8
JVASP-64378,1.1645,1.1645,6
JVASP-85271,0.0,0.0,5
JVASP-48745,0.0482,0.0482,14
JVASP-14614,0.0,0.0,1
JVASP-5059,0.1507,0.1507,9
JVASP-52544,0.0691,0.0691,20
JVASP-64862,0.6127,0.6127,6
JVASP-90713,0.0181,0.0181,8
JVASP-50463,0.0431,0.0431,14
JVASP-97853,0.2123,0.2123,11
JVASP-48232,0.0917,0.0917,20
