jid,formation_energy_peratom,target,num_atoms
JVASP-133770,1.54463,1.54463,3
JVASP-102241,-0.73475,-0.73475,5
JVASP-112494,-0.56033,-0.56033,18
JVASP-7813,-1.30376,-1.30376,8
JVASP-39056,-0.32656,-0.32656,13
JVASP-152326,-2.76425,-2.76425,12
JVASP-140980,-2.65334,-2.65334,20
JVASP-86161,-0.427,-0.427,11
JVASP-91420,-1.36539,-1.36539,32
JVASP-88671,-0.05935,-0.05935,28
JVASP-9424,-0.46447,-0.46447,12
JVASP-107636,-1.0332,-1.0332,7
JVASP-154001,-1.48514,-1.48514,16
JVASP-5338,-1.08553,-1.08553,10
JVASP-126468,-0.93381,-0.93381,4
JVASP-5230,-0.62991,-0.62991,20
JVASP-136659,-0.41891,-0.41891,3
JVASP-77196,1.27485,1.27485,4
JVASP-121561,-2.54296,-2.54296,24
JVASP-15215,-0.23538,-0.23538,3
JVASP-19608,-0.43253,-0.43253,4
JVASP-134291,-1.19852,-1.19852,6
JVASP-43684,-2.46924,-2.46924,12
JVASP-42066,-0.35066,-0.35066,4
JVASP-15265,-0.81833,-0.81833,5
JVASP-147251,-2.09093,-2.09093,26
JVASP-145932,-3.55079,-3.55079,20
JVASP-20530,-0.24049,-0.24049,6
JVASP-30348,-3.33888,-3.33888,6
JVASP-117907,0.0582,0.0582,4
JVASP-40004,-0.6315,-0.6315,4
JVASP-69275,-0.18283,-0.18283,4
JVASP-18879,-1.48249,-1.48249,6
JVASP-17621,-3.28533,-3.28533,5
JVASP-40327,-0.31296,-0.31296,4
JVASP-123568,-0.783,-0.783,4
JVASP-44319,-2.15475,-2.15475,18
JVASP-134375,2.21061,2.21061,3
JVASP-15101,-0.81844,-0.81844,5
JVASP-139732,0.29699,0.29699,3
JVASP-146889,-2.21278,-2.21278,22
JVASP-12573,-0.81927,-0.81927,18
JVASP-30600,-2.09302,-2.09302,22
JVASP-12438,-0.5319,-0.5319,14
JVASP-111996,-0.09824,-0.09824,29
JVASP-107800,-2.16984,-2.16984,10
JVASP-133692,-1.99407,-1.99407,28
JVASP-79493,-0.23501,-0.23501,4
JVASP-55206,-0.41363,-0.41363,12
JVASP-33304,-0.82988,-0.82988,22
JVASP-30024,-0.08352,-0.08352,24
JVASP-110826,-0.99355,-0.99355,3
JVASP-20894,-0.49886,-0.49886,16
