jid,mbj_bandgap,target,num_atoms
JVASP-10,0.0,0.0,3
JVASP-64664,0.0,0.0,6
JVASP-90532,0.0,0.0,9
JVASP-1372,2.276,2.276,2
JVASP-14873,0.256,0.256,7
JVASP-28397,0.959,0.959,8
JVASP-1996,5.672,5.672,2
JVASP-15345,0.0,0.0,4
JVASP-107772,0.0,0.0,4
JVASP-64719,0.0,0.0,6
JVASP-64377,0.0,0.0,6
JVASP-21210,8.382,8.382,1
JVASP-65101,0.0,0.0,6
JVASP-64983,0.0,0.0,6
JVASP-22587,0.0,0.0,5
JVASP-18912,0.0,0.0,2
JVASP-64129,0.0,0.0,3
JVASP-64314,0.0,0.0,6
JVASP-64861,0.0,0.0,6
JVASP-64512,0.0,0.0,6
JVASP-53301,0.0,0.0,3
JVASP-64184,0.0,0.0,6
JVASP-14756,0.0,0.0,2
JVASP-16079,0.0,0.0,1
JVASP-22670,0.0,0.0,9
JVASP-90114,1.947,1.947,9
JVASP-1390,4.958,4.958,2
JVASP-47962,0.0,0.0,6
JVASP-1879,0.0,0.0,4
JVASP-5482,5.371,5.371,3
JVASP-18433,0.516,0.516,4
JVASP-97985,1.116,1.116,10
JVASP-22721,3.414,3.414,6
JVASP-43739,0.0,0.0,10
JVASP-3534,4.005,4.005,6
JVASP-15831,0.0,0.0,6
JVASP-3252,3.697,3.697,5
JVASP-48383,0.0,0.0,14
JVASP-53071,3.138,3.138,14
JVASP-64092,0.0,0.0,6
JVASP-43079,1.578,1.578,6
JVASP-64428,0.0,0.0,6
JVASP-50935,4.061,4.061,10
JVASP-64185,0.0,0.0,6
JVASP-22698,3.877,3.877,8
JVASP-37168,0.0,0.0,2
JVASP-64315,0.0,0.0,3
JVASP-50807,2.429,2.429,19
JVASP-50006,3.351,3.351,5
JVASP-52881,8.178,8.178,15
JVASP-53435,2.495,2.495,14
JVASP-42398,0.0,0.0,12
JVASP-16930,0.0,0.0,3
JVASP-64241,0.0,0.0,6
JVASP-43523,0.0,0.0,16
JVASP-64668,0.0,0.0,6
JVASP-50107,3.655,3.655,5
JVASP-3096,5.062,5.062,9
JVASP-22617,0.0,0.0,8
JVASP-14614,0.0,0.0,1
JVASP-5059,0.0,0.0,9
JVASP-52544,3.768,3.768,20
JVASP-97853,3.034,3.034,11
JVASP-42657,0.0,0.0,6
JVASP-4492,5.36,5.36,12
JVASP-52341,5.289,5.289,12
JVASP-44255,0.0,0.0,18
JVASP-42804,0.0,0.0,16
JVASP-52477,3.732,3.732,24
JVASP-15431,0.563,0.563,5
JVASP-14740,3.17,3.17,4
JVASP-90336,2.894,2.894,9
JVASP-48645,3.183,3.183,20
JVASP-90812,3.193,3.193,8
JVASP-85665,3.811,3.811,9
JVASP-4591,2.229,2.229,13
JVASP-86570,3.719,3.719,14
JVASP-38312,0.0,0.0,4
JVASP-85785,2.462,2.462,14
JVASP-38306,0.0,0.0,5
JVASP-85922,0.0,0.0,10
JVASP-22644,3.023,3.023,20
JVASP-90627,0.0,0.0,8
JVASP-86502,3.343,3.343,9
JVASP-37194,0.0,0.0,4
JVASP-37044,0.0,0.0,4
JVASP-37946,0.0,0.0,4
JVASP-37051,0.298,0.298,4
JVASP-64005,0.0,0.0,3
JVASP-38317,0.0,0.0,4
JVASP-37031,0.114,0.114,4
JVASP-14789,0.737,0.737,2
JVASP-18944,0.341,0.341,2
JVASP-64985,0.0,0.0,4
JVASP-64784,0.0,0.0,6
JVASP-107773,3.401,3.401,8
JVASP-37039,0.0,0.0,4
JVASP-64316,0.0,0.0,6
JVASP-37104,0.0,0.0,4
JVASP-38842,0.0,0.0,4
JVASP-64244,0.0,0.0,6
JVASP-14830,0.0,0.0,1
JVASP-37057,0.0,0.0,4
JVASP-64670,0.0,0.0,6
JVASP-36885,0.0,0.0,5
JVASP-1750,0.236,0.236,3
JVASP-36782,0.0,0.0,4
JVASP-36857,0.0,0.0,4
JVASP-37583,0.0,0.0,4
JVASP-39364,0.0,0.0,4
JVASP-64907,0.0,0.0,4
JVASP-36850,0.0,0.0,4
JVASP-91700,0.0,0.0,8
JVASP-36853,0.0,0.0,4
JVASP-98174,2.683,2.683,24
JVASP-323,0.048,0.048,3
JVASP-38181,0.0,0.0,5
JVASP-1198,2.233,2.233,2
JVASP-38327,0.0,0.0,5
JVASP-22557,0.0,0.0,4
JVASP-39275,0.0,0.0,4
JVASP-97624,0.127,0.127,28
JVASP-22671,0.0,0.0,4
JVASP-22514,0.0,0.0,6
JVASP-28353,0.0,0.0,3
JVASP-3648,3.326,3.326,6
JVASP-43427,4.939,4.939,6
JVASP-5485,3.362,3.362,6
JVASP-3396,3.55,3.55,8
JVASP-15528,0.0,0.0,4
JVASP-49776,1.982,1.982,12
JVASP-28566,0.056,0.056,9
JVASP-53075,2.948,2.948,8
JVASP-53439,0.0,0.0,7
JVASP-64189,0.0,0.0,6
JVASP-3258,3.631,3.631,5
JVASP-97577,6.075,6.075,5
JVASP-50007,4.566,4.566,18
JVASP-97739,0.0,0.0,22
JVASP-52889,4.802,4.802,14
JVASP-43081,1.889,1.889,12
JVASP-12162,4.107,4.107,6
JVASP-14615,0.0,0.0,1
JVASP-50108,4.532,4.532,10
JVASP-64437,0.0,0.0,6
JVASP-19923,0.0,0.0,2
JVASP-60703,2.1,2.1,24
JVASP-5065,0.0,0.0,6
JVASP-64987,0.542,0.542,6
JVASP-64317,0.0,0.0,6
JVASP-64671,0.0,0.0,6
JVASP-44065,2.925,2.925,6
JVASP-50936,5.301,5.301,4
JVASP-50811,6.101,6.101,4
JVASP-3177,5.5,5.5,5
JVASP-243,0.0,0.0,6
JVASP-98189,0.0,0.0,6
JVASP-18823,0.0,0.0,4
JVASP-3117,6.471,6.471,8
JVASP-65030,0.0,0.0,4
JVASP-36852,0.0,0.0,8
JVASP-91567,1.74,1.74,8
JVASP-64331,0.0,0.0,6
JVASP-48579,3.317,3.317,20
JVASP-64873,0.0,0.0,6
JVASP-64680,0.0,0.0,3
JVASP-42809,0.0,0.0,24
JVASP-64459,0.0,0.0,6
JVASP-89269,3.398,3.398,24
JVASP-107742,0.0,0.0,5
JVASP-16084,0.0,0.0,1
JVASP-22559,0.651,0.651,10
JVASP-5503,2.126,2.126,18
JVASP-64955,0.0,0.0,3
JVASP-65071,0.0,0.0,6
JVASP-14833,0.0,0.0,1
JVASP-85370,4.553,4.553,6
JVASP-64142,0.0,0.0,6
JVASP-64993,0.0,0.0,4
JVASP-65108,0.0,0.0,4
JVASP-64738,0.0,0.0,6
JVASP-22517,2.494,2.494,8
JVASP-86104,2.968,2.968,15
JVASP-47967,0.0,0.0,10
JVASP-18513,0.0,0.0,4
JVASP-43529,0.001,0.001,20
JVASP-64915,0.0,0.0,4
JVASP-29231,7.509,7.509,37
JVASP-63925,0.0,0.0,6
JVASP-53444,6.127,6.127,10
JVASP-64610,0.0,0.0,6
JVASP-64390,0.0,0.0,6
JVASP-14790,0.0,0.0,2
JVASP-37034,0.0,0.0,4
JVASP-22645,1.964,1.964,7
JVASP-65066,0.0,0.0,6
JVASP-37036,0.0,0.0,4
JVASP-37190,0.0,0.0,4
JVASP-41448,0.0,0.0,4
JVASP-26,0.717,0.717,4
JVASP-29226,6.931,6.931,22
JVASP-86323,0.0,0.0,6
JVASP-91849,0.0,0.0,8
