jid,optb88vdw_bandgap,target,num_atoms
JVASP-90856,0.0,0.0,8
JVASP-86097,0.0,0.0,7
JVASP-64906,0.0,0.0,4
JVASP-98225,0.472,0.472,32
JVASP-10,0.0,0.0,3
JVASP-14014,0.0,0.0,12
JVASP-64664,0.0,0.0,6
JVASP-22556,0.0,0.0,5
JVASP-86726,0.0,0.0,6
JVASP-28634,0.689,0.689,12
JVASP-98550,1.517,1.517,20
JVASP-89265,0.0,0.0,28
JVASP-97915,0.0,0.0,35
JVASP-90228,0.0,0.0,9
JVASP-42300,0.0,0.0,22
JVASP-86968,2.122,2.122,9
JVASP-90532,0.0,0.0,9
JVASP-50332,0.0,0.0,5
JVASP-86205,0.0,0.0,17
JVASP-28704,0.502,0.502,12
JVASP-60702,1.197,1.197,44
JVASP-97799,0.56,0.56,24
JVASP-28565,0.051,0.051,9
JVASP-86436,4.907,4.907,8
JVASP-1372,1.681,1.681,2
JVASP-14873,0.016,0.016,7
JVASP-28397,0.658,0.658,8
JVASP-98284,0.0,0.0,27
JVASP-89025,2.472,2.472,36
JVASP-1996,3.851,3.851,2
JVASP-48166,0.482,0.482,14
JVASP-15345,0.0,0.0,4
JVASP-97378,0.924,0.924,36
JVASP-97984,4.03,4.03,12
JVASP-98224,0.0,0.0,10
JVASP-98167,0.239,0.239,30
JVASP-64045,0.0,0.0,6
JVASP-63912,0.0,0.0,6
JVASP-64003,0.0,0.0,6
JVASP-64584,0.0,0.0,6
JVASP-64240,0.0,0.0,6
JVASP-107772,0.0,0.0,4
JVASP-64719,0.0,0.0,6
JVASP-97499,1.569,1.569,48
JVASP-64377,0.0,0.0,6
JVASP-21210,6.149,6.149,1
JVASP-97677,4.072,4.072,64
JVASP-65101,0.0,0.0,6
JVASP-65062,0.0,0.0,6
JVASP-97570,2.341,2.341,22
JVASP-64983,0.0,0.0,6
JVASP-98036,0.0,0.0,13
JVASP-98088,2.644,2.644,31
JVASP-22587,0.0,0.0,5
JVASP-89957,0.0,0.0,9
JVASP-18912,0.0,0.0,2
JVASP-90428,0.0,0.0,9
JVASP-48091,0.0,0.0,18
JVASP-29104,0.451,0.451,12
JVASP-64427,0.0,0.0,6
JVASP-64129,0.0,0.0,3
JVASP-64090,0.0,0.0,6
JVASP-64314,0.0,0.0,6
JVASP-63956,0.0,0.0,6
JVASP-107735,0.0,0.0,7
JVASP-64861,0.0,0.0,6
JVASP-64780,0.0,0.0,6
JVASP-98798,0.902,0.902,48
JVASP-64512,0.0,0.0,6
JVASP-53301,0.0,0.0,3
JVASP-64184,0.0,0.0,6
JVASP-64945,0.0,0.0,6
JVASP-86322,2.147,2.147,8
JVASP-14756,0.0,0.0,2
JVASP-16079,0.0,0.0,1
JVASP-47529,0.0,0.0,6
JVASP-91520,2.583,2.583,8
JVASP-22670,0.0,0.0,9
JVASP-97623,0.0,0.0,28
JVASP-49836,0.0,0.0,5
JVASP-28959,0.224,0.224,12
JVASP-15810,0.0,0.0,4
JVASP-90114,0.813,0.813,9
JVASP-1390,3.405,3.405,2
JVASP-47962,0.0,0.0,6
JVASP-1879,0.0,0.0,4
JVASP-98688,0.0,0.0,32
JVASP-5482,4.642,4.642,3
JVASP-18433,0.0,0.0,4
JVASP-29024,0.9,0.9,12
JVASP-97985,0.0,0.0,10
JVASP-22721,2.64,2.64,6
JVASP-86154,0.0,0.0,6
JVASP-32197,2.657,2.657,28
JVASP-16112,0.0,0.0,9
JVASP-85557,0.0,0.0,6
JVASP-43739,0.0,0.0,10
JVASP-3828,0.995,0.995,9
JVASP-91564,0.0,0.0,8
JVASP-97732,0.0,0.0,16
JVASP-43842,0.0,0.0,18
JVASP-98494,2.895,2.895,40
JVASP-89901,0.0,0.0,9
JVASP-4729,0.0,0.0,8
JVASP-97336,2.498,2.498,24
JVASP-63913,0.0,0.0,6
JVASP-87903,0.0,0.0,9
JVASP-49773,2.446,2.446,10
JVASP-3534,2.87,2.87,6
JVASP-15831,0.0,0.0,6
JVASP-43424,0.0,0.0,16
JVASP-64130,0.0,0.0,6
JVASP-3252,2.316,2.316,5
JVASP-14081,0.0,0.0,12
JVASP-98173,0.854,0.854,12
JVASP-1837,1.599,1.599,4
JVASP-48383,0.0,0.0,14
JVASP-18544,0.0,0.0,3
JVASP-53071,1.509,1.509,14
JVASP-97428,5.387,5.387,44
JVASP-14997,0.0,0.0,6
JVASP-64092,0.0,0.0,6
JVASP-43079,0.967,0.967,6
JVASP-64428,0.0,0.0,6
JVASP-90580,0.0,0.0,8
JVASP-50935,2.464,2.464,10
JVASP-64185,0.0,0.0,6
JVASP-22698,1.737,1.737,8
JVASP-64004,0.0,0.0,6
JVASP-64783,0.0,0.0,6
JVASP-64046,0.0,0.0,6
JVASP-37168,0.0,0.0,2
JVASP-64315,0.0,0.0,3
JVASP-91653,0.0,0.0,8
JVASP-50807,0.026,0.026,19
JVASP-86899,0.0,0.0,18
JVASP-64721,0.0,0.0,6
JVASP-50006,2.391,2.391,5
JVASP-98438,0.0,0.0,48
JVASP-43622,0.307,0.307,20
JVASP-64515,0.0,0.0,6
JVASP-63957,0.0,0.0,6
JVASP-52881,5.395,5.395,15
JVASP-98354,4.611,4.611,41
JVASP-53435,1.4,1.4,14
JVASP-42398,0.004,0.004,12
JVASP-16930,0.0,0.0,3
JVASP-50690,0.0,0.0,18
JVASP-90040,0.0,0.0,9
JVASP-64241,0.0,0.0,6
JVASP-43523,0.0,0.0,16
JVASP-92194,0.0,0.0,8
JVASP-64668,0.0,0.0,6
JVASP-50107,2.347,2.347,5
JVASP-88701,1.476,1.476,28
JVASP-47760,1.788,1.788,20
JVASP-65020,0.0,0.0,3
JVASP-91608,0.0,0.0,8
JVASP-48576,0.0,0.0,20
JVASP-3096,4.346,4.346,9
JVASP-22617,0.0,0.0,8
JVASP-64378,0.0,0.0,6
JVASP-85271,0.0,0.0,5
JVASP-48745,0.0,0.0,14
JVASP-14614,0.0,0.0,1
JVASP-5059,0.0,0.0,9
JVASP-52544,3.156,3.156,20
JVASP-64862,0.0,0.0,6
JVASP-90713,0.0,0.0,8
JVASP-50463,0.692,0.692,14
JVASP-97853,2.376,2.376,11
JVASP-48232,0.0,0.0,20
JVASP-50396,2.949,2.949,22
JVASP-88009,0.0,0.0,20
JVASP-13907,5.505,5.505,42
JVASP-86274,0.0,0.0,14
JVASP-44064,0.0,0.0,12
JVASP-88825,3.811,3.811,28
JVASP-90768,0.0,0.0,8
JVASP-42657,0.0,0.0,6
JVASP-4492,4.119,4.119,12
JVASP-15181,0.0,0.0,5
JVASP-97576,3.685,3.685,23
JVASP-98799,1.298,1.298,76
JVASP-52341,3.601,3.601,12
JVASP-13976,0.0,0.0,18
JVASP-65063,0.0,0.0,6
JVASP-52783,2.226,2.226,28
JVASP-91890,0.0,0.0,8
JVASP-44255,0.0,0.0,18
JVASP-98090,2.601,2.601,48
JVASP-91848,0.0,0.0,8
JVASP-48310,0.992,0.992,26
JVASP-91794,0.0,0.0,8
JVASP-42804,0.0,0.0,16
JVASP-86845,0.683,0.683,8
JVASP-97500,1.275,1.275,24
JVASP-52477,3.235,3.235,24
JVASP-15431,0.0,0.0,5
JVASP-48462,0.0,0.0,8
JVASP-91939,0.0,0.0,8
JVASP-14740,0.0,0.0,4
JVASP-47623,0.0,0.0,28
JVASP-85447,1.281,1.281,8
JVASP-90336,2.398,2.398,9
JVASP-107736,0.0,0.0,8
JVASP-41360,0.0,0.0,4
JVASP-42721,0.0,0.0,16
JVASP-65102,0.0,0.0,6
JVASP-86779,0.0,0.0,7
JVASP-86678,0.0,0.0,16
JVASP-64585,0.0,0.0,6
JVASP-49949,2.253,2.253,22
JVASP-91746,0.0,0.0,8
JVASP-97379,4.145,4.145,24
JVASP-86369,0.0,0.0,6
JVASP-91989,0.0,0.0,8
JVASP-86026,0.0,0.0,15
JVASP-85365,0.0,0.0,16
JVASP-42540,0.0,0.0,18
JVASP-88121,5.39,5.39,40
JVASP-48645,2.815,2.815,20
JVASP-90812,2.332,2.332,8
JVASP-48922,0.159,0.159,22
JVASP-88347,0.0,0.0,55
JVASP-38346,0.0,0.0,5
JVASP-85665,2.988,2.988,9
JVASP-38540,0.0,0.0,5
JVASP-4591,1.561,1.561,13
JVASP-86570,3.172,3.172,14
JVASP-38312,0.0,0.0,4
JVASP-98226,0.413,0.413,32
JVASP-85785,1.811,1.811,14
JVASP-87103,0.0,0.0,8
JVASP-38306,0.0,0.0,5
JVASP-42221,0.0,0.0,24
JVASP-85713,3.501,3.501,12
JVASP-87207,1.364,1.364,18
JVASP-90168,0.0,0.0,9
JVASP-37035,0.0,0.0,4
JVASP-97801,0.0,0.0,10
JVASP-64946,0.0,0.0,6
JVASP-85922,0.0,0.0,10
JVASP-98932,5.239,5.239,64
JVASP-85852,0.0,0.0,14
JVASP-14575,0.0,0.0,2
JVASP-98701,0.0,0.0,7
JVASP-22644,2.273,2.273,20
JVASP-64188,0.0,0.0,6
JVASP-88512,0.266,0.266,36
JVASP-90627,0.0,0.0,8
JVASP-86502,2.966,2.966,9
JVASP-63915,0.0,0.0,6
JVASP-37194,0.0,0.0,4
JVASP-37189,0.0,0.0,4
JVASP-37044,0.0,0.0,4
JVASP-38278,0.0,0.0,5
JVASP-19857,0.0,0.0,2
JVASP-38694,0.0,0.0,5
JVASP-37946,0.0,0.0,4
JVASP-37051,0.0,0.0,4
JVASP-38325,0.0,0.0,5
JVASP-64005,0.0,0.0,3
JVASP-15056,0.0,0.0,2
JVASP-38317,0.0,0.0,4
JVASP-64131,0.0,0.0,6
JVASP-37031,0.0,0.0,4
JVASP-98615,4.294,4.294,52
JVASP-14789,0.0,0.0,2
JVASP-98038,1.685,1.685,24
JVASP-28636,0.586,0.586,12
JVASP-97916,0.0,0.0,28
JVASP-18944,0.0,0.0,2
JVASP-64985,0.0,0.0,4
JVASP-64784,0.0,0.0,6
JVASP-64093,0.0,0.0,3
JVASP-98551,0.0,0.0,30
JVASP-39448,0.0,0.0,5
JVASP-37049,0.0,0.0,4
JVASP-15260,0.0,0.0,4
JVASP-64429,0.0,0.0,6
JVASP-87040,0.0,0.0,10
JVASP-16080,0.0,0.0,1
JVASP-14914,0.0,0.0,3
JVASP-37042,0.0,0.0,4
JVASP-107773,1.85,1.85,8
JVASP-50760,1.584,1.584,16
JVASP-37191,0.0,0.0,4
JVASP-37039,0.0,0.0,4
JVASP-97337,0.0,0.0,20
JVASP-64316,0.0,0.0,6
JVASP-37104,0.0,0.0,4
JVASP-64047,0.0,0.0,6
JVASP-38842,0.0,0.0,4
JVASP-64528,0.0,0.0,6
JVASP-64244,0.0,0.0,6
JVASP-14830,0.0,0.0,1
JVASP-64379,0.0,0.0,6
JVASP-98439,3.169,3.169,48
JVASP-37057,0.0,0.0,4
JVASP-63958,0.0,0.0,6
JVASP-64670,0.0,0.0,6
JVASP-97854,0.861,0.861,10
JVASP-11958,0.0,0.0,22
JVASP-36885,0.0,0.0,5
JVASP-97988,0.0,0.0,13
JVASP-1750,0.214,0.214,3
JVASP-64724,0.0,0.0,6
JVASP-36782,0.0,0.0,4
JVASP-64865,0.0,0.0,6
JVASP-36857,0.0,0.0,4
JVASP-37583,0.0,0.0,4
JVASP-39364,0.0,0.0,4
JVASP-98496,1.8,1.8,40
JVASP-28962,0.44,0.44,12
JVASP-64907,0.0,0.0,4
JVASP-65023,0.0,0.0,6
JVASP-36850,0.0,0.0,4
JVASP-91700,0.0,0.0,8
JVASP-36853,0.0,0.0,4
JVASP-98174,1.961,1.961,24
JVASP-107737,0.0,0.0,6
JVASP-90429,0.477,0.477,8
JVASP-323,0.0,0.0,3
JVASP-97429,3.786,3.786,36
JVASP-89958,0.0,0.0,9
JVASP-37300,0.0,0.0,5
JVASP-38181,0.0,0.0,5
JVASP-1198,1.057,1.057,2
JVASP-38289,0.0,0.0,5
JVASP-37387,0.0,0.0,4
JVASP-38327,0.0,0.0,5
JVASP-48092,0.0,0.0,18
JVASP-47532,0.0,0.0,12
JVASP-29105,0.866,0.866,12
JVASP-64586,0.0,0.0,6
JVASP-22557,0.0,0.0,4
JVASP-39275,0.0,0.0,4
