jid,shear_modulus_gv,target,num_atoms
JVASP-10,33.05,33.05,3
JVASP-100001,58.35,58.35,6
JVASP-100010,57.1,57.1,4
JVASP-100017,-0.07,-0.07,4
JVASP-100028,32.39,32.39,4
JVASP-100038,24.55,24.55,2
JVASP-100039,84.23,84.23,4
JVASP-10004,51.22,51.22,14
JVASP-100042,14.98,14.98,8
JVASP-100046,75.97,75.97,8
JVASP-100047,68.69,68.69,5
JVASP-100053,1.08,1.08,6
JVASP-100054,51.29,51.29,5
JVASP-100057,28.55,28.55,8
JVASP-100060,41.15,41.15,4
JVASP-100063,83.53,83.53,8
JVASP-100065,0.35,0.35,6
JVASP-100067,38.87,38.87,7
JVASP-100072,82.87,82.87,5
JVASP-10010,40.69,40.69,11
JVASP-100119,18.82,18.82,10
JVASP-100120,15.36,15.36,10
JVASP-10013,40.73,40.73,16
JVASP-100130,118.13,118.13,10
JVASP-100131,25.32,25.32,8
JVASP-100134,26.78,26.78,5
JVASP-100137,27.45,27.45,6
JVASP-10014,12.28,12.28,10
JVASP-100143,89.82,89.82,4
JVASP-100152,18.01,18.01,4
JVASP-100153,9.83,9.83,8
JVASP-100154,40.2,40.2,4
JVASP-100159,100.88,100.88,4
JVASP-10016,179.68,179.68,10
JVASP-100162,26.28,26.28,8
JVASP-100167,0.15,0.15,4
JVASP-10017,22.12,22.12,12
JVASP-100170,56.03,56.03,4
JVASP-100174,33.98,33.98,4
JVASP-100175,56.41,56.41,4
JVASP-100178,5.92,5.92,4
JVASP-100180,28.58,28.58,4
JVASP-100187,28.36,28.36,5
JVASP-100193,10.23,10.23,8
JVASP-100195,3.75,3.75,8
JVASP-100198,44.52,44.52,4
JVASP-100199,44.52,44.52,4
JVASP-1002,63.28,63.28,2
JVASP-100208,35.74,35.74,4
JVASP-100210,38.84,38.84,4
JVASP-100211,4.86,4.86,4
JVASP-100212,12.12,12.12,4
JVASP-10022,0.19,0.19,14
JVASP-100229,35.56,35.56,4
JVASP-10023,24.7,24.7,14
JVASP-100231,7.82,7.82,8
JVASP-100233,22.94,22.94,4
JVASP-100234,22.94,22.94,4
JVASP-100244,34.7,34.7,4
JVASP-100245,34.7,34.7,4
JVASP-10025,44.04,44.04,14
JVASP-100252,30.87,30.87,8
JVASP-100256,29.21,29.21,8
JVASP-100259,25.46,25.46,8
JVASP-10026,23.25,23.25,14
JVASP-100260,11.16,11.16,4
JVASP-100261,27.88,27.88,4
JVASP-100275,-8.61,-8.61,10
JVASP-100277,0.0,0.0,5
JVASP-100283,25.98,25.98,2
JVASP-100287,46.98,46.98,3
JVASP-10029,9.73,9.73,12
JVASP-100290,28.88,28.88,4
JVASP-100292,39.11,39.11,6
JVASP-100293,51.22,51.22,5
JVASP-100304,198.87,198.87,8
JVASP-100308,89.74,89.74,4
JVASP-10031,24.35,24.35,14
JVASP-100316,51.45,51.45,4
JVASP-100319,0.33,0.33,6
JVASP-10033,22.29,22.29,14
JVASP-100331,70.63,70.63,9
JVASP-100332,51.41,51.41,4
JVASP-100335,98.3,98.3,2
JVASP-100338,0.32,0.32,6
JVASP-100339,60.74,60.74,6
JVASP-10034,54.54,54.54,12
JVASP-100343,97.59,97.59,7
JVASP-100350,60.7,60.7,6
JVASP-100356,22.59,22.59,5
JVASP-10036,126.31,126.31,12
JVASP-100366,29.23,29.23,7
JVASP-100367,38.91,38.91,6
JVASP-100368,15.96,15.96,3
JVASP-100369,16.49,16.49,8
JVASP-10037,99.24,99.24,12
JVASP-100373,55.41,55.41,6
JVASP-100374,71.06,71.06,4
JVASP-100375,41.67,41.67,4
JVASP-100385,77.62,77.62,4
JVASP-100389,13.21,13.21,10
JVASP-10039,18.05,18.05,14
JVASP-100393,47.49,47.49,2
JVASP-100395,35.07,35.07,4
JVASP-100396,19.91,19.91,6
JVASP-100397,103.97,103.97,6
JVASP-100408,0.0,0.0,10
JVASP-100414,94.24,94.24,6
JVASP-100420,15.81,15.81,10
JVASP-100424,23.19,23.19,8
JVASP-100426,112.84,112.84,10
JVASP-100427,27.19,27.19,5
JVASP-100434,17.22,17.22,8
JVASP-100442,130.8,130.8,8
JVASP-100443,75.98,75.98,10
JVASP-100444,165.9,165.9,8
JVASP-100449,89.35,89.35,5
JVASP-100450,55.63,55.63,8
JVASP-100454,74.57,74.57,8
JVASP-100457,27.76,27.76,8
JVASP-100467,24.36,24.36,7
JVASP-100468,25.84,25.84,7
JVASP-10048,57.77,57.77,14
JVASP-100486,27.96,27.96,4
JVASP-100489,34.98,34.98,4
JVASP-100493,24.08,24.08,4
JVASP-100496,20.32,20.32,4
JVASP-100499,40.56,40.56,4
JVASP-1005,22.89,22.89,4
JVASP-10050,56.08,56.08,14
JVASP-100500,17.73,17.73,4
JVASP-100503,30.96,30.96,4
JVASP-100504,16.88,16.88,4
JVASP-100505,8.46,8.46,4
JVASP-100508,18.35,18.35,2
JVASP-100509,27.38,27.38,4
JVASP-10051,71.45,71.45,14
JVASP-100510,49.28,49.28,4
JVASP-100511,59.54,59.54,4
JVASP-100513,82.22,82.22,4
JVASP-100514,33.3,33.3,4
JVASP-100518,19.63,19.63,4
JVASP-100519,24.22,24.22,10
JVASP-100522,42.5,42.5,9
JVASP-100529,47.38,47.38,9
JVASP-100535,49.7,49.7,5
JVASP-100536,14.37,14.37,4
JVASP-100537,70.77,70.77,4
JVASP-100539,24.9,24.9,2
JVASP-100541,0.34,0.34,4
JVASP-100544,67.58,67.58,10
JVASP-100547,113.5,113.5,10
JVASP-10055,78.66,78.66,14
JVASP-100553,53.95,53.95,10
JVASP-10056,54.85,54.85,14
JVASP-100571,21.74,21.74,10
JVASP-100572,3.16,3.16,10
JVASP-100573,10.74,10.74,10
JVASP-100576,15.74,15.74,5
JVASP-100585,8.22,8.22,10
JVASP-100590,18.84,18.84,10
JVASP-100591,148.17,148.17,2
JVASP-100593,48.12,48.12,6
JVASP-100594,19.04,19.04,4
JVASP-100595,60.42,60.42,4
JVASP-100596,12.46,12.46,4
JVASP-100597,24.69,24.69,8
JVASP-100600,49.37,49.37,4
JVASP-100606,45.56,45.56,4
JVASP-100609,9.02,9.02,4
JVASP-100610,22.29,22.29,4
JVASP-100612,20.62,20.62,4
JVASP-100614,30.02,30.02,4
JVASP-100617,37.89,37.89,8
JVASP-100619,25.74,25.74,4
JVASP-100620,19.64,19.64,4
