jid,formation_energy_peratom,target,num_atoms
JVASP-100001,-0.28163,-0.28163,6
JVASP-100012,0.00892,0.00892,9
JVASP-100018,-0.91186,-0.91186,4
JVASP-100054,-0.74184,-0.74184,5
JVASP-10007,-2.26094,-2.26094,18
JVASP-100078,-1.51743,-1.51743,10
JVASP-100079,-2.16677,-2.16677,10
JVASP-100095,-1.85316,-1.85316,10
JVASP-100131,-1.28555,-1.28555,8
JVASP-100136,-0.92943,-0.92943,10
JVASP-10017,-0.94187,-0.94187,12
JVASP-100186,0.01938,0.01938,8
JVASP-100189,0.16405,0.16405,4
JVASP-100198,-0.29809,-0.29809,4
JVASP-100203,-0.03494,-0.03494,4
JVASP-10021,-3.17933,-3.17933,16
JVASP-100217,0.04309,0.04309,4
JVASP-100226,-0.45957,-0.45957,4
JVASP-100239,-0.00614,-0.00614,4
JVASP-100241,-0.73935,-0.73935,4
JVASP-100247,-0.16852,-0.16852,4
JVASP-100248,-0.52895,-0.52895,4
JVASP-100256,-0.25181,-0.25181,8
JVASP-100257,-0.32326,-0.32326,4
JVASP-10026,-1.5026,-1.5026,14
JVASP-100264,-0.36922,-0.36922,4
JVASP-10029,-1.86454,-1.86454,12
JVASP-100293,-0.34671,-0.34671,5
JVASP-100307,-0.44432,-0.44432,8
JVASP-10035,-2.09172,-2.09172,14
JVASP-100359,0.06853,0.06853,2
JVASP-100365,-0.4435,-0.4435,10
JVASP-100369,-0.12903,-0.12903,8
JVASP-100378,-0.19296,-0.19296,6
JVASP-100404,0.03472,0.03472,5
JVASP-100406,0.08765,0.08765,6
JVASP-100411,-0.38196,-0.38196,6
JVASP-100445,-0.60595,-0.60595,5
JVASP-100454,-1.56905,-1.56905,8
JVASP-100471,-1.15251,-1.15251,10
JVASP-100472,-1.83707,-1.83707,10
JVASP-100482,-0.12736,-0.12736,9
JVASP-100489,-0.87307,-0.87307,4
JVASP-100509,-0.40201,-0.40201,4
JVASP-100535,-0.68966,-0.68966,5
JVASP-100537,-0.72225,-0.72225,4
JVASP-100544,-2.39321,-2.39321,10
JVASP-10055,-1.73851,-1.73851,14
JVASP-100561,-0.26654,-0.26654,7
JVASP-100564,-2.70602,-2.70602,10
JVASP-100576,-1.77751,-1.77751,5
JVASP-100608,-0.00474,-0.00474,6
JVASP-100614,-0.36254,-0.36254,4
JVASP-100617,-0.45884,-0.45884,8
JVASP-100622,-0.60512,-0.60512,9
JVASP-100626,-0.2878,-0.2878,9
JVASP-10064,-1.80023,-1.80023,12
JVASP-100647,-2.19339,-2.19339,9
JVASP-100648,0.00518,0.00518,3
JVASP-100650,-1.88329,-1.88329,8
JVASP-100657,-0.9274,-0.9274,7
JVASP-10066,-0.7362,-0.7362,12
JVASP-10067,-1.41683,-1.41683,14
JVASP-100691,-1.28732,-1.28732,10
JVASP-10074,-3.42066,-3.42066,12
JVASP-100764,4e-05,4e-05,4
JVASP-100765,-0.3543,-0.3543,8
JVASP-100766,-0.49166,-0.49166,4
JVASP-100768,-0.45643,-0.45643,10
JVASP-100774,-0.88901,-0.88901,6
JVASP-100788,-0.28603,-0.28603,8
JVASP-100790,-0.53814,-0.53814,4
JVASP-100802,-0.94583,-0.94583,7
JVASP-100803,-0.4938,-0.4938,7
JVASP-100808,-0.23419,-0.23419,6
JVASP-100817,-0.46743,-0.46743,4
JVASP-10082,-1.34988,-1.34988,12
JVASP-100823,0.10469,0.10469,6
JVASP-100827,-0.01601,-0.01601,4
JVASP-100829,-0.5289,-0.5289,9
JVASP-100841,-0.41329,-0.41329,4
JVASP-100846,-0.37665,-0.37665,6
JVASP-100847,-0.71915,-0.71915,7
JVASP-100859,-1.00872,-1.00872,6
JVASP-10086,-3.15582,-3.15582,16
JVASP-100865,-1.58063,-1.58063,9
JVASP-100872,-0.42557,-0.42557,7
JVASP-100877,-1.71272,-1.71272,10
JVASP-100880,-3.17542,-3.17542,10
JVASP-100889,-1.59355,-1.59355,10
JVASP-100935,-0.65975,-0.65975,6
JVASP-100969,-0.64636,-0.64636,4
JVASP-100974,0.05208,0.05208,4
JVASP-100978,-0.30477,-0.30477,4
JVASP-100980,-0.03262,-0.03262,8
JVASP-100983,-0.01298,-0.01298,4
JVASP-101,-1.36097,-1.36097,10
JVASP-101005,-0.00459,-0.00459,8
JVASP-101012,-0.3768,-0.3768,4
JVASP-101063,-1.19489,-1.19489,6
JVASP-101065,-0.1578,-0.1578,6
JVASP-101071,-0.45221,-0.45221,8
JVASP-101100,0.13471,0.13471,8
JVASP-101102,-1.33569,-1.33569,10
JVASP-101103,-0.8203,-0.8203,6
JVASP-101110,-0.42884,-0.42884,8
JVASP-101114,-0.35777,-0.35777,10
JVASP-101117,-0.58591,-0.58591,10
JVASP-101133,-0.70112,-0.70112,5
JVASP-101145,-1.863,-1.863,6
JVASP-101148,-0.02867,-0.02867,8
JVASP-10118,-1.82043,-1.82043,12
JVASP-101182,-2.0965,-2.0965,4
JVASP-10120,-1.82824,-1.82824,12
JVASP-101231,-2.9733,-2.9733,10
JVASP-10124,-0.50299,-0.50299,16
JVASP-101378,-0.73589,-0.73589,10
JVASP-101393,-0.60631,-0.60631,4
JVASP-10141,-0.69241,-0.69241,14
JVASP-101412,-0.33272,-0.33272,4
JVASP-101415,0.03296,0.03296,4
JVASP-101416,0.19157,0.19157,4
JVASP-10142,-2.20942,-2.20942,12
JVASP-101436,-0.52448,-0.52448,10
JVASP-101441,-0.37454,-0.37454,8
JVASP-101450,-0.75424,-0.75424,7
JVASP-101454,-0.38027,-0.38027,6
JVASP-101456,0.03681,0.03681,4
JVASP-10147,-1.91766,-1.91766,12
JVASP-101499,-2.47003,-2.47003,10
JVASP-101512,-1.77602,-1.77602,10
JVASP-101532,-1.83327,-1.83327,10
JVASP-101566,-0.89591,-0.89591,4
JVASP-101589,-0.49669,-0.49669,8
JVASP-101594,-0.22354,-0.22354,4
JVASP-101595,-0.34514,-0.34514,4
JVASP-101605,0.00659,0.00659,4
JVASP-101616,-0.20396,-0.20396,4
JVASP-101627,-0.42357,-0.42357,4
JVASP-101633,-2.30394,-2.30394,10
JVASP-101657,-0.26823,-0.26823,9
JVASP-101664,-2.27427,-2.27427,10
JVASP-101666,-0.34335,-0.34335,6
JVASP-101682,-0.1202,-0.1202,10
JVASP-101709,-3.48369,-3.48369,10
JVASP-101718,-2.65058,-2.65058,10
JVASP-101720,-0.3997,-0.3997,7
JVASP-101751,0.0897,0.0897,4
JVASP-101762,-2.67125,-2.67125,10
JVASP-101764,-1.01407,-1.01407,8
JVASP-101786,-0.29399,-0.29399,28
JVASP-101804,-0.03123,-0.03123,24
JVASP-101819,-0.05873,-0.05873,15
JVASP-10182,-2.05322,-2.05322,14
JVASP-101830,0.04371,0.04371,34
JVASP-101835,-0.12845,-0.12845,14
JVASP-101839,-0.07612,-0.07612,46
JVASP-10185,-1.30964,-1.30964,12
JVASP-101862,0.00956,0.00956,58
JVASP-101868,-0.3552,-0.3552,30
JVASP-101878,-0.38438,-0.38438,27
JVASP-101889,-0.6096,-0.6096,18
JVASP-101901,-0.72164,-0.72164,13
JVASP-101905,-0.71778,-0.71778,13
JVASP-10192,-0.5267,-0.5267,16
JVASP-101921,-0.41483,-0.41483,28
JVASP-10194,-1.83453,-1.83453,12
JVASP-101940,-0.59871,-0.59871,16
JVASP-101942,-0.70565,-0.70565,19
JVASP-101945,-0.71733,-0.71733,13
JVASP-101974,-0.39418,-0.39418,42
JVASP-101978,-0.44254,-0.44254,25
JVASP-101993,-0.04513,-0.04513,44
JVASP-10200,-3.15173,-3.15173,10
JVASP-102003,-0.3166,-0.3166,52
JVASP-10203,-2.81556,-2.81556,18
JVASP-102059,-1.7913,-1.7913,10
JVASP-102094,-2.1617,-2.1617,10
JVASP-102107,-0.27628,-0.27628,4
JVASP-102118,-0.31382,-0.31382,4
JVASP-102120,0.17125,0.17125,4
JVASP-102128,0.00554,0.00554,3
JVASP-102133,-1.31784,-1.31784,4
JVASP-102134,-0.682,-0.682,4
JVASP-102156,-0.45053,-0.45053,5
JVASP-102169,-0.14806,-0.14806,6
JVASP-102178,-0.05428,-0.05428,9
JVASP-10220,-0.85213,-0.85213,10
JVASP-102207,-0.47697,-0.47697,9
JVASP-102218,-0.34152,-0.34152,6
JVASP-102230,-0.19097,-0.19097,8
JVASP-102248,-1.70531,-1.70531,8
JVASP-102251,-2.84461,-2.84461,5
JVASP-102263,-1.33094,-1.33094,10
JVASP-102270,-1.26874,-1.26874,10
JVASP-102279,-0.24487,-0.24487,4
JVASP-102283,-0.00774,-0.00774,4
JVASP-102293,-0.15324,-0.15324,4
JVASP-102296,-0.97294,-0.97294,4
JVASP-1023,0.0,0.0,3
JVASP-102302,-0.62699,-0.62699,10
JVASP-102307,-0.59094,-0.59094,6
JVASP-102313,-0.14556,-0.14556,8
JVASP-102320,-1.95848,-1.95848,5
JVASP-102330,-3.74284,-3.74284,9
JVASP-10234,-1.56521,-1.56521,10
JVASP-102350,-1.42827,-1.42827,6
JVASP-102353,-2.70043,-2.70043,10
JVASP-102365,-1.05007,-1.05007,10
JVASP-102366,-2.10876,-2.10876,10
JVASP-102368,-1.96836,-1.96836,10
JVASP-102375,-1.43469,-1.43469,10
JVASP-102377,-1.13987,-1.13987,10
JVASP-102384,-1.92769,-1.92769,10
JVASP-102411,-0.84677,-0.84677,10
JVASP-102412,-3.40432,-3.40432,10
JVASP-102419,-1.88741,-1.88741,10
JVASP-102427,-2.92488,-2.92488,10
JVASP-102451,0.15277,0.15277,4
JVASP-102461,-0.4318,-0.4318,4
JVASP-102464,0.07963,0.07963,8
JVASP-102472,0.06731,0.06731,8
JVASP-10249,-1.41912,-1.41912,12
JVASP-102497,-0.23877,-0.23877,4
JVASP-102500,0.01564,0.01564,8
JVASP-102501,-0.25348,-0.25348,4
JVASP-102503,-0.2428,-0.2428,4
JVASP-102512,-0.1401,-0.1401,4
JVASP-102544,-0.43071,-0.43071,4
JVASP-102549,-0.68589,-0.68589,4
JVASP-102564,-0.06034,-0.06034,4
JVASP-102572,-0.43478,-0.43478,8
JVASP-102573,-0.0518,-0.0518,4
JVASP-102602,-0.60025,-0.60025,10
JVASP-102615,-2.09219,-2.09219,10
JVASP-102619,-0.18128,-0.18128,9
JVASP-102628,-0.9164,-0.9164,5
JVASP-10263,-1.62656,-1.62656,14
JVASP-102631,-0.28998,-0.28998,8
JVASP-102635,-0.40785,-0.40785,5
JVASP-102638,-0.27178,-0.27178,6
JVASP-102674,0.04344,0.04344,3
JVASP-102682,-2.01066,-2.01066,10
JVASP-102688,-0.06241,-0.06241,2
JVASP-102692,-0.16423,-0.16423,9
JVASP-102693,-1.44853,-1.44853,10
JVASP-10270,-3.24295,-3.24295,10
JVASP-102717,-0.69155,-0.69155,4
JVASP-102723,-0.70763,-0.70763,4
JVASP-102724,-0.3467,-0.3467,4
JVASP-102730,-0.87315,-0.87315,8
JVASP-102731,-4.30185,-4.30185,8
